id,is_allergen,is_sugar
da59ba4e-47f8-4649-9f13-01a48bdf8ca8,0,1
cf6f861b-06bf-470f-9441-d781a1f7a1d5,0,1
c988ca68-0ae3-4b48-9c41-265bd31a0339,0,1
f76d634b-5bc7-4d65-8084-bf5decbbc1cb,0,1
d7b042f4-4cb7-4a17-9b7b-21289ed3212e,0,1
be14b491-9441-477c-8e87-24fef0505cf4,0,1
42a2bafb-01d5-478f-9c04-0b582d307daf,0,0
51c189b5-2872-48b1-a1cf-de5c09fd0d8d,0,1
0648e32c-fa56-4fea-a930-2066a07bf573,0,1
7283d98c-48fc-42aa-9fda-4e9beb37854b,0,1
69114fcf-5e03-4db4-90ae-45f756ace959,0,1
4e5b928f-a85f-4238-8bd3-d154f866a2db,0,1
9bd4f066-14ae-452b-88d6-87a20a96f16b,0,1
c9716b2c-5ead-4bdd-ae85-87a1979ef537,0,1
71ea5099-a442-47e5-841d-540696e140e4,0,1
e2b09db8-805c-48b8-a4b9-e5b4ffeff713,0,1
9ee9acdd-43a0-49ca-af1d-e144a25ee49b,0,1
5b6fde5a-0a49-4cda-bba1-1033b4722133,0,1
df3b1aef-1402-4dbb-98ad-221f9af2c8d3,0,1
42e89782-dccc-4cbe-bc78-f4fa42359093,0,1
cfc23790-585e-4d0c-b1f9-893f270e0b61,0,1
420aeb9b-282d-4aa9-b456-5f03c8609c72,0,1
ca730602-7cf8-457f-82d7-72c2de927404,0,1
87c1f1b1-f9c5-43d6-9e8a-4cbb2b3fe501,0,1
c04460a7-e343-4208-b354-371add3cf7a4,0,1
0df38b62-9d61-4839-afd0-b4339c1d67e3,0,1
c4f7605d-1c5e-458b-8b6b-86ead2e05fe3,0,1
e80cb43d-0a90-481d-9e7b-9fdfbfb7d0b6,0,1
6d4798e0-4740-40bb-8a1f-f1418ae4877e,0,1
0e12e1eb-24e8-4380-aae6-6f9a0f30efb0,0,1
5e3ef595-aa08-4e54-b362-ccfd6df11db5,0,1
4fb5a405-ccc6-430f-94b0-1af31722541d,0,1
80ae7135-cb3e-4a0b-8294-4141b4fad2a2,0,1
b21f208b-f642-4a5a-8fb4-be9e8eb39c0b,0,1
6405fbc8-9ed0-4eb4-862b-7d0de95a008e,0,0
632bae67-9c83-4ec5-92d7-5202d9b5ae29,0,1
2f2d691f-95aa-4c4f-b58c-93fd50a12569,0,1
a4ca6df0-685d-4ee7-86f5-c2ad1d93a3ad,0,1
504d09ea-b476-43c4-8f76-cdcdf7bb6515,0,1
3275455b-5603-4068-b531-8313852ee463,0,1
deec423e-c832-4494-92fd-527506579b08,0,0
